exhibitorid,phrase,flag
9185851,quickbooks desktop proadvisor certification exam prep course,0
9185851,quickbooks desktop proadvisor certification path,0
9185851,quickbooks desktop product team,0
9185851,quickbooks desktop quickbooks online,1
9185851,quickbooks desktop supergeek,1
9185851,quickbooks enterprise,0
9185851,quickbooks enterprise client,0
9185851,quickbooks enterprise desktop,0
9185851,quickbooks enterprise meet,0
9185851,quickbooks enterprise offering,0
9185851,quickbooks enterprise product team,0
9185851,quickbooks enterprise solutions,0
9185851,quickbooks files,0
9185851,quickbooks inproduct reports quickbooks,0
9185851,quickbooks integration,0
9185851,quickbooks integration gain,0
9185851,quickbooks inventory,1
9185851,quickbooks midmarket,0
9185851,quickbooks note,0
9185851,quickbooks online,1
9185851,quickbooks online accountant,0
9185851,quickbooks online desktop apps,1
9185851,quickbooks online note,0
9185851,quickbooks online quickbooks online accountant setting,0
9185851,quickbooks online sales revenue expenses,0
9185851,quickbooks overview,0
9185851,quickbooks pro,1
9185851,quickbooks proadvisor,0
9185851,quickbooks proadvisor laura redmond,0
9185851,quickbooks proadvisor program,0
9185851,quickbooks proadvisors,0
9185851,quickbooks problems,1
9185851,quickbooks qb professionals,0
9185851,quickbooks reports,0
9185851,quickbooks users,0
9185851,quickbooks work,0
9185851,quickbooks workhub,0
9185851,quickbooks works,0
9185851,quot100 minutes,1
9185851,quotclean upquot,0
9185851,ram cache,0
9185851,real insight,0
9185851,real life examples,1
9185851,reallife situations,0
9185851,realworld lessons,0
9185851,receipt information,1
9185851,receivable experience,0
9185851,recent versions,1
9185851,reclassify data,1
9185851,recorder excel,0
9185851,record macros,0
9185851,remote desktop server,0
9185851,repair steps,1
9185851,repetitive jobs youll,0
9185851,repetitive reports,0
9185851,report center report groups,0
9185851,reports need,0
9185851,reports note,1
9185851,retail clients,0
9185851,retail clients increase sales,0
9185851,retailer restaurateurs,0
9185851,revel systems,0
9185851,revel systems repeat,0
9185851,review period,1
9185851,right customers,0
9185851,right data,0
9185851,right order,0
9185851,right payroll solution,0
9185851,right place,0
9185851,right tools,1
9185851,risk management,0
9185851,risky sandi smith leyva,0
9185851,robin hall,0
9185851,role changes,0
9185851,routine summaries,0
9185851,routine work,0
9185851,sale desktop,1
9185851,sale desktop offering,1
9185851,sale offeringsquickbooks,0
9185851,sales channels,0
9185851,sale solution,0
9185851,sales receivables,1
9185851,sales summary,1
9185851,sales tax,1
9185851,sales tax compliance,0
9185851,sales transactions,1
9185851,sale team,0
9185851,scanners email web pages,1
9185851,scope creep,0
9185851,screens tools,0
9185851,search access,1
9185851,seconds goto,0
